CityName,Name,HotelName1,HotelName2,HotelName3,HotelName4,HotelName5
,Jaldapara National Park,Crystal Jaldapara Villa,Classic Jaldapara Lodge,Emerald Jaldapara Haven,Sunset Jaldapara Cottages,Silver Jaldapara Haven
,Sundarbans National Park,Golden Sundarbans Residency,Serene Sundarbans Suites,Maple India Palace,Sunset India Residences,Classic India Retreat
,Digha Beach,Valley Digha Lodge,Silver Digha Cottages,Crystal Digha Residency,Maple India Villa,Crystal India Palace
,Hazarduari Palace,Blue India Villa,Silver Hazarduari Retreat,Royal Hazarduari Suites,Golden India Residences,Serene Hazarduari Inn
,Kankalitala Temple,Luxury India Heritage,Golden India Residences,Royal India Residences,Bliss India Inn,Heritage India Heritage
,Hangseswari Temple,Royal Hangseswari Heritage,Silver Hangseswari Residency,Luxury India Stay,Sunset Hangseswari Resort,Golden Hangseswari Cottages
,Gorumara National Park,Majestic Gorumara Cottages,Emerald India Inn,Silver India Residences,Classic Gorumara Collection,Sunset India Palace
,Cooch Behar Palace,Royal Cooch Lodge,Classic India Stay,Emerald India Palace,Emerald India Residency,Sunset India Inn
,Ayodhya Hills,Majestic Ayodhya Lodge,Serene India Heritage,Emerald Ayodhya Grand Hotel,Classic Ayodhya Residency,Bliss India Suites
,Jagannath Temple,Bliss Jagannath Grand Hotel,Majestic India Residences,Emerald Jagannath Residency,Maple India Lodge,Blue Jagannath Resort
,Sun Temple,Majestic India Villa,Pearl India Residency,Silver India Heritage,Bliss Sun Palace,Luxury Sun Collection
,Lingaraj Temple,Luxury India Retreat,Classic India Palace,Bliss India Lodge,Valley Lingaraj Retreat,Majestic Lingaraj Lodge
,Khandadhar Waterfall,Emerald Khandadhar Cottages,Valley Khandadhar Heritage,Majestic India Inn,Sunset Khandadhar Villa,Classic Khandadhar Residency
,Barabati Fort,Golden India Lodge,Sunset India Inn,Pearl India Stay,Pearl Barabati Palace,Maple Barabati Cottages
,Hirakud Dam,Majestic Hirakud Palace,Serene India Palace,Bliss Hirakud Villa,Silver India Retreat,Emerald India Heritage
,Chilika Lake,Crystal India Suites,Crystal India Stay,Heritage Chilika Cottages,Serene India Inn,Heritage India Villa
,Tara Tarini Temple,Blue India Stay,Sunset India Palace,Pearl Tara Haven,Luxury India Palace,Royal India Residency
,Badaghagara Waterfall,Valley Badaghagara Retreat,Serene Badaghagara Residency,Golden India Lodge,Serene Badaghagara Resort,Luxury India Heritage
,Chandipur Beach,Valley India Palace,Luxury India Villa,Silver India Retreat,Valley Chandipur Collection,Sunset Chandipur Palace
,Sanaghagara Waterfall,Heritage Sanaghagara Haven,Emerald India Villa,Sunset Sanaghagara Grand Hotel,Majestic India Lodge,Pearl Sanaghagara Cottages
,Marina Beach,Silver Marina Palace,Majestic Marina Heritage,Heritage India Villa,Luxury India Palace,Classic India Heritage
,Meenakshi Amman Temple,Golden Meenakshi Grand Hotel,Crystal Meenakshi Villa,Royal India Palace,Golden Meenakshi Suites,Royal Meenakshi Heritage
,Ramanathaswamy Temple,Royal Ramanathaswamy Inn,Crystal India Suites,Golden Ramanathaswamy Villa,Silver Ramanathaswamy Retreat,Heritage India Residency
,Vivekananda Rock Memorial,Blue India Retreat,Golden Vivekananda Heritage,Blue Vivekananda Inn,Heritage India Villa,Silver Vivekananda Resort
,Ooty Lake,Luxury Ooty Resort,Heritage Ooty Cottages,Heritage India Villa,Luxury India Inn,Silver Ooty Heritage
,Marudamalai Temple,Maple India Villa,Majestic Marudamalai Resort,Blue India Residences,Silver Marudamalai Heritage,Sunset Marudamalai Cottages
,Kodaikanal Lake,Crystal Kodaikanal Villa,Bliss India Palace,Heritage Kodaikanal Residency,Maple India Inn,Majestic India Villa
,Brihadeeswarar Temple,Emerald Brihadeeswarar Heritage,Serene Brihadeeswarar Suites,Golden Brihadeeswarar Resort,Emerald Brihadeeswarar Lodge,Golden India Residency
,Shore Temple,Royal India Suites,Emerald Shore Suites,Maple India Heritage,Luxury Shore Palace,Sunset Shore Palace
,Yercaud Lake,Pearl India Heritage,Blue Yercaud Villa,Pearl India Inn,Maple Yercaud Resort,Emerald Yercaud Inn
,Nellaiappar Temple,Valley India Villa,Blue Nellaiappar Suites,Golden India Retreat,Bliss India Residences,Crystal India Retreat
,Nataraja Temple,Bliss India Heritage,Royal Nataraja Inn,Crystal India Residences,Valley India Retreat,Sunset Nataraja Heritage
,Kanaka Durga Temple,Sunset India Lodge,Valley India Villa,Blue Kanaka Haven,Blue India Palace,Valley Kanaka Resort
,Rishikonda Beach,Emerald India Retreat,Blue India Villa,Classic Rishikonda Resort,Serene Rishikonda Residency,Luxury India Residency
,Mallikarjuna Swamy Temple,Blue India Inn,Valley India Lodge,Majestic India Palace,Majestic Mallikarjuna Villa,Heritage Mallikarjuna Residency
,Papikondalu,Royal Papikondalu Inn,Serene Papikondalu Collection,Heritage Papikondalu Residency,Luxury Papikondalu Collection,Royal Papikondalu Collection
,Lepakshi,Majestic India Retreat,Pearl India Residency,Heritage India Stay,Majestic Lepakshi Lodge,Sunset India Retreat
,Belum Caves,Bliss India Suites,Golden India Residences,Maple India Retreat,Luxury India Residency,Crystal Belum Grand Hotel
,Amaravathi Temple,Majestic India Residences,Majestic Amaravathi Inn,Bliss Amaravathi Inn,Royal India Stay,Royal India Inn
,Uppalapadu Bird Sanctuary,Serene India Lodge,Heritage India Retreat,Classic Uppalapadu Collection,Maple India Inn,Emerald India Suites
,Gandikota Fort,Serene Gandikota Palace,Serene India Suites,Pearl Gandikota Resort,Valley Gandikota Inn,Silver India Stay
,Prasanthi Nilayam,Emerald Prasanthi Resort,Crystal Prasanthi Haven,Heritage India Lodge,Bliss Prasanthi Grand Hotel,Crystal India Suites
,Simhachalam Temple,Valley Simhachalam Villa,Majestic India Residency,Silver Simhachalam Inn,Bliss India Heritage,Classic India Lodge
,Kailasagiri,Serene India Stay,Luxury India Heritage,Silver India Stay,Maple India Villa,Royal Kailasagiri Retreat
,Submarine Museum,Classic Submarine Collection,Heritage Submarine Resort,Pearl Submarine Villa,Maple India Stay,Luxury Submarine Collection
,Borra Caves,Blue Borra Retreat,Heritage India Heritage,Heritage Borra Retreat,Sunset Borra Collection,Sunset Borra Grand Hotel
,War Memorial,Bliss India Retreat,Classic India Inn,Crystal War Resort,Classic War Grand Hotel,Classic War Villa
,Indira Gandhi Zoological Park,Valley Indira Resort,Serene India Lodge,Heritage India Residences,Serene Indira Haven,Classic India Stay
,Matsyadarshini Aquarium,Luxury India Retreat,Sunset India Villa,Golden India Retreat,Bliss Matsyadarshini Suites,Maple India Stay
,Visakha Museum,Golden India Inn,Royal India Stay,Crystal Visakha Retreat,Maple Visakha Inn,Majestic India Palace
,Nathula Pass,Blue Nathula Collection,Serene India Stay,Royal Nathula Grand Hotel,Valley India Inn,Luxury India Heritage
,Pemayangtse Monastery,Majestic India Palace,Serene India Retreat,Sunset Pemayangtse Heritage,Heritage Pemayangtse Resort,Blue India Heritage
,Char Dham,Serene Char Cottages,Classic Char Collection,Majestic Char Palace,Crystal Char Suites,Maple India Stay
,Rumtek Monastery,Bliss India Heritage,Silver India Retreat,Crystal Rumtek Resort,Majestic Rumtek Inn,Serene India Retreat
,Buddha Park,Royal Buddha Inn,Heritage Buddha Heritage,Bliss Buddha Suites,Bliss Buddha Suites,Sunset Buddha Lodge
,Baba Harbhajan Singh Temple,Heritage India Suites,Crystal India Villa,Serene Baba Suites,Serene India Inn,Royal India Suites
,Tsomgo Lake,Heritage India Retreat,Emerald Tsomgo Suites,Serene India Villa,Pearl Tsomgo Inn,Serene India Residency
,Kamakhya Temple,Bliss India Inn,Classic Kamakhya Grand Hotel,Golden India Suites,Heritage Kamakhya Heritage,Valley Kamakhya Suites
,Kaziranga National Park,Blue Kaziranga Cottages,Classic Kaziranga Residency,Sunset India Residency,Valley Kaziranga Grand Hotel,Sunset Kaziranga Collection
,Umananda Island,Sunset Umananda Grand Hotel,Bliss Umananda Grand Hotel,Valley India Inn,Royal India Heritage,Classic India Suites
,Sivasagar Sivadol,Heritage Sivasagar Residency,Crystal India Villa,Blue Sivasagar Heritage,Silver India Palace,Bliss Sivasagar Resort
,Majuli Island,Emerald India Stay,Valley India Suites,Majestic India Inn,Pearl India Residency,Heritage Majuli Villa
,Manas National Park,Pearl India Lodge,Blue Manas Villa,Serene Manas Grand Hotel,Luxury Manas Lodge,Emerald India Lodge
,Hayagriva Madhava Temple,Pearl India Inn,Blue India Villa,Blue India Villa,Emerald India Residences,Silver Hayagriva Grand Hotel
,Pobitora Wildlife Sanctuary,Crystal Pobitora Grand Hotel,Emerald India Retreat,Pearl Pobitora Lodge,Royal Pobitora Cottages,Sunset Pobitora Palace
,Tawang Monastery,Royal Tawang Grand Hotel,Emerald Tawang Inn,Silver Tawang Grand Hotel,Crystal Tawang Residency,Golden India Residences
,Ujjayanta Palace,Blue Ujjayanta Retreat,Pearl India Lodge,Luxury Ujjayanta Heritage,Pearl India Heritage,Royal India Villa
,Dumboor Lake,Serene Dumboor Villa,Valley Dumboor Lodge,Serene India Retreat,Silver Dumboor Resort,Golden Dumboor Grand Hotel
,Unakoti Rock Carvings,Pearl Unakoti Residency,Majestic Unakoti Residency,Bliss India Villa,Majestic India Heritage,Royal India Lodge
,Chitrakote Falls,Maple Chitrakote Heritage,Royal Chitrakote Residency,Maple India Residency,Bliss Chitrakote Lodge,Emerald Chitrakote Resort
,Dzükou Valley,Maple Dzükou Heritage,Majestic Dzükou Palace,Sunset India Stay,Heritage Dzükou Resort,Crystal India Villa
,Promenade Beach,Golden India Suites,Sunset Promenade Resort,Emerald Promenade Resort,Pearl Promenade Villa,Bliss Promenade Grand Hotel
,Auroville,Classic Auroville Retreat,Maple India Palace,Heritage Auroville Grand Hotel,Royal India Residences,Maple Auroville Haven
,Paradise Beach,Blue Paradise Collection,Silver India Villa,Royal India Heritage,Pearl Paradise Residency,Sunset India Suites
,Cellular Jail,Blue Cellular Retreat,Crystal India Lodge,Serene Cellular Cottages,Crystal India Villa,Royal India Residency
,Radhanagar Beach,Royal Radhanagar Grand Hotel,Maple Radhanagar Heritage,Luxury India Suites,Luxury Radhanagar Resort,Sunset India Palace
,Bharatpur Beach,Valley Bharatpur Palace,Classic Bharatpur Heritage,Valley India Villa,Pearl Bharatpur Grand Hotel,Heritage India Residency
,Limestone Caves,Silver Limestone Haven,Emerald India Stay,Royal Limestone Residency,Emerald India Palace,Blue India Residences
,Naida Caves,Royal India Stay,Pearl Naida Resort,Maple India Residences,Classic India Inn,Majestic Naida Villa
,Diu Fort,Pearl Diu Heritage,Royal India Residences,Bliss India Suites,Golden India Lodge,Serene Diu Suites
,Baba Baidyanath Temple,Golden Baba Retreat,Majestic Baba Grand Hotel,Crystal Baba Collection,Serene India Residency,Serene India Lodge
,Pahari Mandir,Bliss India Villa,Golden Pahari Heritage,Golden India Suites,Blue India Villa,Majestic India Retreat
,Mahabodhi Temple,Luxury India Heritage,Royal Mahabodhi Haven,Bliss India Palace,Pearl India Residences,Pearl Mahabodhi Collection
,Sanjay Gandhi Biological Park,Silver India Retreat,Blue Sanjay Resort,Heritage India Suites,Majestic India Palace,Silver Sanjay Villa
,Takhat Shri Harimandir Ji Patna Sahib,Silver India Palace,Maple Takhat Inn,Luxury Takhat Retreat,Crystal Takhat Inn,Pearl Takhat Resort
,Budhha Smriti Park,Valley Budhha Heritage,Sunset India Retreat,Majestic Budhha Resort,Heritage India Residences,Blue Budhha Villa
,Kingdom of Dreams,Serene India Heritage,Silver Kingdom Inn,Bliss India Suites,Serene Kingdom Residency,Majestic India Suites
,Ambience Mall,Maple Ambience Suites,Valley India Heritage,Serene India Residency,Classic India Palace,Emerald India Suites
,DLF CyberHub,Emerald India Residences,Pearl DLF Heritage,Maple India Lodge,Royal DLF Cottages,Pearl DLF Cottages
,Gurudwara Bangla Sahib,Heritage India Palace,Crystal India Lodge,Crystal India Suites,Pearl Gurudwara Inn,Luxury Gurudwara Villa
,Kedarnath,Heritage India Suites,Silver India Retreat,Crystal India Heritage,Luxury India Lodge,Classic India Stay
,DLF Mall of India,Emerald DLF Cottages,Silver DLF Suites,Sunset DLF Heritage,Serene DLF Collection,Emerald India Residences
,The Grand Venice Mall,Classic The Resort,Bliss India Heritage,Heritage India Lodge,Classic The Resort,Silver The Cottages
,Wonderla Amusement Park,Valley India Lodge,Classic India Inn,Classic India Stay,Crystal Wonderla Palace,Crystal Wonderla Grand Hotel
,Nandankanan Zoological Park,Sunset India Palace,Heritage Nandankanan Inn,Valley India Suites,Crystal India Heritage,Maple Nandankanan Villa
,Orion Mall,Classic India Retreat,Serene India Stay,Pearl India Residency,Majestic Orion Retreat,Heritage India Villa
,Inorbit Mall Cyberabad,Heritage India Heritage,Pearl Inorbit Grand Hotel,Crystal India Inn,Bliss India Suites,Heritage India Suites
,Jama Masjid,Crystal India Stay,Valley Jama Palace,Luxury Jama Heritage,Luxury India Villa,Crystal Jama Villa
,Ramanathaswamy Temple,Pearl India Villa,Serene Ramanathaswamy Inn,Heritage Ramanathaswamy Cottages,Emerald India Heritage,Serene India Residency
,Buddh International Circuit,Bliss Buddh Cottages,Blue India Stay,Majestic Buddh Palace,Bliss India Inn,Bliss India Villa
,Phoenix Palassio,Classic Phoenix Cottages,Classic Phoenix Grand Hotel,Royal India Lodge,Pearl India Inn,Silver India Residency
,LuLu International Shopping Mall,Royal LuLu Resort,Bliss LuLu Heritage,Royal India Palace,Silver LuLu Grand Hotel,Emerald India Inn
,Rail Museum,Golden India Retreat,Royal Rail Collection,Blue India Lodge,Heritage Rail Residency,Serene Rail Resort
,Living Root Bridge,Emerald India Palace,Golden India Palace,Silver Living Retreat,Pearl Living Palace,Silver India Residences
,Akshardham,Majestic Akshardham Inn,Bliss Akshardham Retreat,Classic India Suites,Blue India Lodge,Royal India Retreat
,Agra Fort,Crystal Agra Retreat,Pearl India Lodge,Bliss India Suites,Valley India Suites,Pearl India Lodge
,Madhya Pradesh Tribal Museum,Blue Madhya Residency,Sunset India Inn,Sunset Madhya Palace,Emerald India Suites,Classic Madhya Suites
,City Palace,Heritage India Stay,Heritage City Retreat,Bliss City Collection,Serene India Heritage,Luxury India Stay
,Albert Hall Museum,Classic India Suites,Royal Albert Inn,Crystal Albert Residency,Royal India Heritage,Heritage Albert Villa
